source,project_id,project_name,bbl,geom
DOB,220152732,2383 LORILLARD PLACE,2030550020,
DOB,320961429,804 ST JOHNS PLACE,3012540025,
DOB,520365300,6630 HYLAN BOULEVARD,5077100212,
DOB,520385823,82 TILSON PLACE,5028460245,
DOB,520316783,85 TRENTON CT,5067080013,
DOB,220614164,909 PIERCE AVE,2040910036,
DOB,520382327,103 FINGERBOARD RD,5028660072,
DOB,520231188,5 HERBERT STREET,5066810030,
DOB,520279635,29 HERBERT STREET,5066810105,
DOB,421665763,62-38 HILLMEYER ROAD,4160050100,
DOB,320613074,746 PINE STREET,3044840037,
DOB,320613065,744 PINE STREET,3044840036,
DOB,220691393,3838 CARPENTER AVE,2046550008,
DOB,421469707,194-28 DUNTON AVENUE,4105090160,
DOB,520212859,373 SHARON AVENUE,,
DOB,520212868,373 SHARON AVENUE,,
DOB,421464944,204 BEACH 28 STREET,4158030060,
DOB,420492773,140-26 NEGUNDO AVENUE,4052220006,
DOB,320625267,615 DEAN STREET,3011290100,
DOB,520372560,2748 AMBOY ROAD,5042290029,
DOB,320177964,24 6TH AVENUE,,
DOB,320981639,804 ST JOHNS PL,3012540025,
Neighborhood Study Rezoning Commitments,JEROME Rezoning Commitment,130 West 182nd St,?,
Neighborhood Study Rezoning Commitments,EAST HARLEM Rezoning Commitment,Acacia Gardens,1018080010,
Neighborhood Study Rezoning Commitments,EAST HARLEM Rezoning Commitment,(Projected RFP) DSNY 123rd Street Parking Lot (Site 3),?,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290062,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290076,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290081,
Empire State Development Projected Projects,Fountain Avenue,Fountain Avenue,3045860500,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290001,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290003,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290004,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290005,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290006,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290013,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290021,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290025,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290039,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290043,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290044,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290045,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290046,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290049,
Empire State Development Projected Projects,Atlantic Yards -- Phase II,Atlantic Yards -- Phase II,3011290054,
HPD Projected Closings,60824/986455,1071-1075 BRYANT AVENUE,2027500032,
HPD Projected Closings,63774/976438,98 FEATHERBED LANE,2028720152,
HPD Projected Closings,63883/969097,784 COURTLANDT AVENUE,2024040002,
HPD Projected Closings,65320/988893,445 EAST 142 STREET,2022870071,
HPD Projected Closings,66858/982995,2628 FULTON STREET,3036690013,
HPD Projected Closings,68211/989031,24-Mar 27 AVENUE,4004900090,
HPD RFPs,NYCHA Betances V and VI,NYCHA Betances V and VI,2022870071,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890006,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890012,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890013,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890014,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890015,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890016,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890017,
HPD RFPs,MWBE Site C - 1510-1524 Broadway,MWBE Site C - 1510-1524 Broadway,3014890018,
HPD RFPs,MWBE Site D - 359 E. 157th Street,MWBE Site D - 359 E. 157th Street,2024040002,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170022,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170023,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170025,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170028,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170029,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170031,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170033,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170035,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170037,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170038,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170039,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170040,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170041,
HPD RFPs,NYCHA Twin Parks,NYCHA Twin Parks,2031430236,
HPD RFPs,NYCHA Harborview Terrace,NYCHA Harborview Terrace,10840009,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170042,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170043,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170045,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170046,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170048,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170050,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170051,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170052,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170053,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170054,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170121,
HPD RFPs,SustaiNYC (E. 111th Street),SustaiNYC (E. 111th Street),1016170122,
HPD RFPs,NYCHA Twin Parks,NYCHA Twin Parks,2031430240,
